Apple,0.30,0.50,13.80,59.90
Banana,0.20,1.10,22.80,97.40
Chicken Breast,2.00,31.50,0.60,146.40
White Rice,0.20,2.20,28.00,122.60
Salmon,9.70,25.00,0.00,187.30
Whole Wheat Bread,2.50,8.00,45.00,234.50
Cheese,26.00,25.00,1.20,338.80
Potato,0.20,2.00,18.40,83.40
Oats,6.00,14.00,61.50,356.00
Greek Yogurt,10.00,10.50,4.50,150.00
Chocolate Chip Cookie,12.00,1.80,49.50,313.20
Broccoli,0.60,3.30,11.20,63.40
Spaghetti,1.30,11.80,28.00,170.90
Ice Cream,12.00,2.50,24.00,214.00
Avocado,14.50,1.90,8.50,172.10
Ground Beef,16.00,26.50,0.00,250.00
Quinoa,6.50,14.50,63.00,368.50
Orange,0.20,1.10,8.20,39.00
Peanut Butter,49.00,24.50,20.50,621.00
Shrimp,1.20,23.50,0.80,108.00
Spinach,0.50,2.80,3.90,31.30
Pizza,11.00,12.50,30.00,269.00
Almonds,48.00,21.50,21.50,604.00
Milk,3.50,3.40,5.00,65.10
Blueberries,0.30,0.60,15.00,65.10
Tofu,7.50,15.50,4.00,145.50
Cucumber,0.10,0.50,2.00,10.90
Chocolate Bar,31.00,3.20,58.00,523.80
Cauliflower,0.30,2.20,5.50,33.50
Rice Krispies Treat,7.50,1.20,28.50,186.30
Turkey Breast,1.50,29.50,0.00,131.50
Bell Pepper,0.30,1.00,6.20,31.50
Hot Dog,13.50,9.80,2.20,169.50
Watermelon,0.20,0.50,7.50,33.80
Dark Chocolate,30.50,3.50,55.50,510.50
Asparagus,0.20,2.00,3.50,23.80
Eggplant,0.30,0.90,6.00,30.30
Sausage,19.50,13.50,1.20,234.30
Hummus,8.50,7.20,15.50,167.30
Corn,1.30,3.00,20.00,103.70
Pineapple,0.20,0.50,12.50,53.80
French Fries,14.50,3.00,62.50,392.50
Cottage Cheese,1.20,11.50,3.20,69.60
Pistachios,44.50,20.50,29.00,598.50
Carrot,0.30,0.80,9.50,43.90
Muffin,9.50,3.50,44.00,275.50
Grapes,0.30,0.70,16.50,71.50
Tuna,1.00,30.50,0.00,131.00
Lentils,0.50,9.50,20.50,124.50
Caesar Salad,25.50,8.50,13.50,317.50
Kiwi,0.50,1.00,14.20,65.30
Raisins,0.40,2.20,78.50,326.40
Swiss Cheese,27.50,27.50,1.50,363.50
Pork Chop,9.50,27.50,0.00,195.50
Cranberries,0.10,0.30,8.80,37.30
Pita Bread,1.50,10.20,49.00,250.30
Iceberg Lettuce,0.10,1.00,2.50,14.90
Clams,2.20,24.50,0.00,117.80
Honey,0.10,0.40,81.50,328.50
Brownie,14.50,2.50,41.50,306.50
Vanilla Cake,15.50,3.50,49.50,351.50
Mango,0.50,0.70,13.80,62.50
Macaroni and Cheese,9.80,10.20,29.50,247.00
Raspberries,0.30,1.50,11.90,56.30
Artichoke,0.20,2.20,6.00,34.60
Pistachio Ice Cream,12.00,2.50,26.50,224.00
Tzatziki,10.00,3.00,3.50,116.00
Lobster,0.90,25.60,1.50,116.50
Black Beans,0.90,8.90,21.60,130.10
Cherry Tomatoes,0.30,1.20,4.90,27.10
Sushi (Salmon Roll),4.50,9.00,33.00,208.50
Peaches,0.20,0.90,9.50,43.40
Artisanal Bread,3.00,8.50,41.50,227.00
Egg Salad,15.00,12.00,2.00,191.00
Lobster Bisque,10.50,7.80,12.20,174.50
Pecan Pie,21.00,3.50,50.00,403.00
Ginger Chicken,6.50,18.00,9.00,166.50
Chia Seeds,31.00,17.00,43.00,519.00
Clam Chowder,8.50,5.50,18.00,170.50
Blue Cheese,29.00,21.00,2.00,353.00
Caramel Popcorn,16.00,2.00,78.00,464.00
Cabbage,0.10,1.30,5.80,29.30
Lobster Roll,14.00,17.00,30.00,314.00
Egg Noodles,1.50,11.00,26.00,161.50
Crab Cakes,15.00,15.00,5.00,215.00
Pumpkin Seeds,49.00,30.00,10.00,601.00
Margherita Pizza,12.00,11.00,30.00,272.00
Clam Linguine,4.50,19.00,32.00,244.50
Pistachio Cake,22.00,4.00,60.00,454.00
Buffalo Wings,22.00,25.00,1.50,304.00
Ceviche,4.00,18.00,8.00,140.00
Cinnamon Rolls,10.00,4.00,50.00,306.00
Fajitas,10.00,25.00,12.00,238.00
Onion Rings,15.00,2.00,41.00,307.00
Ratatouille,4.00,1.50,15.00,102.00
Gouda Cheese,27.00,25.00,2.00,351.00
Guacamole,15.00,2.00,8.00,175.00
Baguette,1.00,9.00,51.00,249.00
Lobster Mac and Cheese,18.00,12.00,25.00,310.00
Teriyaki Chicken,8.00,23.00,11.50,210.00
Lobster Salad,12.50,15.00,2.00,180.50
Paella,8.00,20.00,40.00,312.00
Baked Ziti,10.00,12.00,25.00,238.00
Stuffed Bell Peppers,8.00,5.00,20.00,172.00
Chicken Tikka Masala,15.00,18.00,15.00,267.00
Lobster Tail,1.00,26.00,1.00,117.00
Tiramisu,24.00,4.00,40.00,392.00
Buffalo Chicken Dip,18.00,12.00,4.00,226.00
Miso Soup,2.00,2.50,5.00,48.00
Roast Beef Sandwich,10.00,25.00,30.00,310.00
Tempura,12.00,8.00,30.00,260.00
Ratatouille,4.00,1.50,15.00,102.00
Croissant,23.00,6.00,45.00,411.00
Pad Thai,14.00,8.00,35.00,298.00
French Onion Soup,10.00,7.00,15.00,178.00
Eggplant Parmesan,15.00,10.00,20.00,255.00
Green Bean Casserole,8.00,3.00,15.00,144.00
Chicken Pot Pie,16.00,10.00,30.00,304.00
Ratatouille,4.00,1.50,15.00,102.00